EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
an_000184,0,0.9900,RULE_METAL_ETCH_NO_LITHO
an_000185,1,0.9900,
an_000186,1,0.9900,
an_000187,1,0.9900,
an_000188,1,0.9900,
an_000189,0,0.9900,RULE_PAD_OPEN_BEFORE_DEP
an_000190,0,0.9500,RULE_ETCH_NO_MASK
an_000191,0,0.0100,RULE_SHIP_BEFORE_TEST
an_000192,0,0.9900,RULE_BACKSIDE_BEFORE_PASSIVATION
an_000193,1,0.9500,
an_000194,1,0.9900,
an_000195,0,0.9900,RULE_TEST_BEFORE_PASSIVATION
an_000196,1,0.9800,
an_000197,1,0.9500,
an_000198,1,0.9900,
an_000199,0,0.9500,RULE_TEST_BEFORE_PASSIVATION
an_000200,1,0.9900,
