EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000073,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 4,DEVELOP PHOTORESIST
ns_000074,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2,HARD BAKE
ns_000075,SOFT BAKE,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,POST EXPOSE BAKE,DEVELOP PHOTORESIST
ns_000076,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2
ns_000077,MEASURE LINE WIDTH,DEPOSIT INTERLEVEL DIELECTRIC,DENSIFY DIELECTRIC,CMP DIELECTRIC,MEASURE SURFACE PLANARITY
ns_000078,IMPLANT LDD,IMPLANT SOURCE REGION,IMPLANT DRAIN / CATHODE REGION,IMPLANT N-TYPE,IMPLANT P BODY
ns_000079,SHIP LOT,FINAL LOT RELEASE,PACKAGE PREPARATION,MEASURE DEVICE PARAMETER,BREAKDOWN VOLTAGE TEST
ns_000080,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,DEPOSIT INTERLEVEL DIELECTRIC,DENSIFY DIELECTRIC,MEASURE DIELECTRIC THICKNESS
ns_000081,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2,DIELECTRIC ETCH VIA
ns_000082,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,DEPOSIT INTERLEVEL DIELECTRIC,MEASURE METAL THICKNESS
ns_000083,CLEAN AFTER VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN
ns_000084,ANISOTROPIC ETCH SPACER,MEASURE SPACER WIDTH,IMPLANT LDD,RAPID THERMAL ANNEAL,MEASURE JUNCTION PROFILE
ns_000085,FINAL LOT RELEASE,SHIP LOT,PACKAGE PREPARATION,MEASURE DEVICE PARAMETER,BREAKDOWN VOLTAGE TEST
ns_000086,HARD BAKE,PATTERN INSPECTION LEVEL 1,DIELECTRIC ETCH VIA,OXIDE ETCH,VIA ETCH
ns_000087,EXPOSE LITHO LEVEL 2,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2,POLYSILICON ETCH
ns_000088,RAPID THERMAL ANNEAL,DRIVE IN DIFFUSION,MEASURE JUNCTION DEPTH,WAFER SURFACE CLEAN,THERMAL OXIDATION
ns_000089,IMPLANT LDD,IMPLANT SOURCE REGION,IMPLANT DRAIN / CATHODE REGION,IMPLANT N-TYPE,IMPLANT P BODY
ns_000090,SHIP LOT,FINAL LOT RELEASE,PACKAGE PREPARATION,YIELD ANALYSIS,MEASURE DEVICE PARAMETER
ns_000091,SOFT BAKE,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2
ns_000092,THERMAL OXIDATION,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT PAD OXIDE,DEPOSIT FIELD OXIDE,DEPOSIT INTERLAYER DIELECTRIC
ns_000093,IMPLANT WELL,IMPLANT P BODY,IMPLANT N BUFFER,IMPLANT CHANNEL STOP,IMPLANT N-TYPE
ns_000094,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2,DIELECTRIC ETCH VIA
ns_000095,DEPOSIT METAL 1,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 4,DEVELOP PHOTORESIST
ns_000096,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 4,DEVELOP PHOTORESIST
ns_000097,CLEAN AFTER VIA ETCH,DEPOSIT BARRIER METAL,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN,CMP VIA FILL
ns_000098,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,CLEAN AFTER VIA ETCH,STRIP RESIST
ns_000099,POLYSILICON ETCH,POLYSILICON ETCH DRY,HARD BAKE,STRIP RESIST,CLEAN AFTER POLY ETCH
ns_000100,DEPOSIT BACKSIDE METAL,DEPOSIT BACKSIDE PROTECTION,BACKSIDE ANNEAL,MEASURE BACKSIDE CONTACT,MEASURE BACKSIDE ROUGHNESS
ns_000101,CMP INTERLAYER DIELECTRIC,DENSIFY DIELECTRIC,MEASURE DIELECTRIC THICKNESS,DEPOSIT BARRIER METAL,DIELECTRIC ETCH VIA
ns_000102,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2
ns_000103,EXPOSE LITHO LEVEL 4,POST EXPOSE BAKE,DEVELOP PHOTORESIST,METAL PATTERN INSPECTION,HARD BAKE
ns_000104,DEPOSIT INTERLAYER DIELECTRIC,DENSIFY DIELECTRIC,CMP DIELECTRIC,DEPOSIT METAL 1,MEASURE METAL THICKNESS
ns_000105,SOFT BAKE,ALIGN MASK LEVEL 1,EXPOSE LITHO LEVEL 1,POST EXPOSE BAKE,DEVELOP PHOTORESIST
ns_000106,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT METAL 1,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 4
ns_000107,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 5,EXPOSE LITHO LEVEL 5,DEVELOP PHOTORESIST
ns_000108,DEPOSIT BACKSIDE METAL,DEPOSIT BACKSIDE PROTECTION,BACKSIDE ANNEAL,MEASURE BACKSIDE CONTACT,BACKSIDE RINSE
ns_000109,DEPOSIT BACKSIDE METAL,MEASURE BACKSIDE CONTACT,BACKSIDE ANNEAL,MEASURE BACKSIDE ROUGHNESS,DEPOSIT BACKSIDE PROTECTION
ns_000110,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,DEPOSIT INTERLEVEL DIELECTRIC,DENSIFY DIELECTRIC,MEASURE DIELECTRIC THICKNESS
ns_000111,METAL ETCH,METAL ETCH DRY,STRIP RESIST,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH
ns_000112,CLEAN AFTER POLY ETCH,MEASURE GATE CD,DEPOSIT SPACER DIELECTRIC,ANISOTROPIC ETCH SPACER,IMPLANT LDD
ns_000113,DEPOSIT BACKSIDE METAL,BACKSIDE DRY,BACKSIDE METALLIZATION PREP,MEASURE BACKSIDE CONTACT,BACKSIDE ANNEAL
ns_000114,MEASURE OXIDE THICKNESS,DEPOSIT GATE OXIDE OR DIELECTRIC,SPIN COAT PHOTORESIST,DEPOSIT POLYSILICON,DEPOSIT FIELD OXIDE
ns_000115,DEPOSIT POLYSILICON,MEASURE GATE OXIDE THICKNESS,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2
ns_000116,DRY WAFER,SUBSTRATE CHECK,DEPOSIT PAD OXIDE,THERMAL OXIDATION,MEASURE OXIDE THICKNESS
ns_000117,FINAL ELECTRICAL TEST PREP,YIELD ANALYSIS,FINAL LOT RELEASE,SHIP LOT,PACKAGE PREPARATION
ns_000118,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,DEVELOP PHOTORESIST
ns_000119,METAL ETCH,HARD BAKE,STRIP RESIST,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH
ns_000120,DEVELOP PAD WINDOW,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,MEASURE PAD OPENING,FINAL CLEAN
ns_000121,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN,CMP VIA FILL,DEPOSIT METAL 1,SPIN COAT PHOTORESIST
ns_000122,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PATTERN INSPECTION LEVEL 2,HARD BAKE,DIELECTRIC ETCH VIA
ns_000123,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA CD,MEASURE VIA RESISTANCE
ns_000124,SOFT BAKE,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,POST EXPOSE BAKE,DEVELOP PHOTORESIST
ns_000125,METAL ETCH,METAL ETCH DRY,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH
ns_000126,SHIP LOT,FINAL LOT RELEASE,YIELD ANALYSIS,PACKAGE PREPARATION,MEASURE DEVICE PARAMETER
ns_000127,DEPOSIT GATE OXIDE OR DIELECTRIC,THERMAL OXIDATION,DEPOSIT PAD OXIDE,DEPOSIT FIELD OXIDE,EPITAXY PREP
ns_000128,MEASURE EPITAXY THICKNESS,MEASURE RESISTIVITY,EPITAXY ANNEAL,WAFER SURFACE CLEAN,THERMAL OXIDATION
ns_000129,DEPOSIT SPACER DIELECTRIC,ANISOTROPIC ETCH SPACER,IMPLANT LDD,IMPLANT SOURCE DRAIN,MEASURE SPACER WIDTH
ns_000130,DEPOSIT SPACER DIELECTRIC,ANISOTROPIC ETCH SPACER,IMPLANT LDD,IMPLANT SOURCE DRAIN,ANNEAL POLYSILICON
ns_000131,DEPOSIT POLYSILICON,DEPOSIT GATE OXIDE OR DIELECTRIC,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2
ns_000132,ALIGN MASK LEVEL 1,EXPOSE LITHO LEVEL 1,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 1
ns_000133,DEPOSIT BACKSIDE METAL,DEPOSIT BACKSIDE PROTECTION,BACKSIDE METALLIZATION PREP,BACKSIDE ANNEAL,MEASURE BACKSIDE CONTACT
ns_000134,CMP INTERLAYER DIELECTRIC,MEASURE PLANARITY,DEPOSIT INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,DEPOSIT METAL SEED
ns_000135,SOFT BAKE,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 4,DEVELOP PHOTORESIST,METAL PATTERN INSPECTION
ns_000136,DEPOSIT POLYSILICON,SPIN COAT PHOTORESIST,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,DEVELOP PHOTORESIST
ns_000137,HF DIP,DRY WAFER,SUBSTRATE CHECK,SURFACE PREP FOR DEPOSITION,WAFER SURFACE CLEAN
ns_000138,RAPID THERMAL ANNEAL,MEASURE JUNCTION DEPTH,DEPOSIT SPACER DIELECTRIC,ANISOTROPIC ETCH SPACER,IMPLANT LDD
ns_000139,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,POST EXPOSE BAKE
ns_000140,EPITAXIAL DEPOSITION,MEASURE EPITAXY THICKNESS,MEASURE RESISTIVITY,EPITAXY ANNEAL,WAFER SURFACE CLEAN
ns_000141,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2,HARD BAKE
ns_000142,IMPLANT LDD,IMPLANT SOURCE REGION,IMPLANT DRAIN / CATHODE REGION,IMPLANT N-TYPE,IMPLANT P BODY
ns_000143,HARD BAKE,POLYSILICON ETCH,POLYSILICON ETCH DRY,STRIP RESIST,POLY PATTERN INSPECTION
ns_000144,EPITAXIAL DEPOSITION,MEASURE EPITAXY THICKNESS,EPITAXY ANNEAL,WAFER SURFACE CLEAN,MEASURE RESISTIVITY
ns_000145,DEPOSIT SPACER DIELECTRIC,ANISOTROPIC ETCH SPACER,IMPLANT LDD,IMPLANT SOURCE DRAIN,MEASURE SPACER WIDTH
ns_000146,DEPOSIT BARRIER METAL,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA RESISTANCE
ns_000147,MEASURE PAD OPENING,FINAL CLEAN,FINAL ELECTRICAL TEST PREP,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST
ns_000148,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 4,DEVELOP PHOTORESIST
ns_000149,SPIN COAT PHOTORESIST,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT POLYSILICON,DEPOSIT FIELD OXIDE,DEPOSIT PAD OXIDE
ns_000150,FINAL CLEAN,FINAL ELECTRICAL TEST PREP,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST,SHIP LOT
ns_000151,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER VIA ETCH,MEASURE VIA CD,FILL VIA TUNGSTEN
ns_000152,MEASURE PAD OPENING,FINAL CLEAN,FINAL ELECTRICAL TEST PREP,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST
ns_000153,MEASURE OXIDE THICKNESS,DEPOSIT POLYSILICON,DEPOSIT GATE OXIDE OR DIELECTRIC,SPIN COAT PHOTORESIST,DEPOSIT FIELD OXIDE
ns_000154,ANISOTROPIC ETCH SPACER,MEASURE SPACER WIDTH,IMPLANT LDD,CLEAN AFTER ETCH,RAPID THERMAL ANNEAL
ns_000155,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,MEASURE PAD OPENING,FINAL CLEAN,FINAL ELECTRICAL TEST PREP
ns_000156,FINAL ELECTRICAL TEST PREP,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST,BREAKDOWN VOLTAGE TEST,THRESHOLD VOLTAGE TEST
ns_000157,DRY WAFER,SURFACE PREP FOR DEPOSITION,DEPOSIT PAD OXIDE,DEPOSIT GATE OXIDE OR DIELECTRIC,THERMAL OXIDATION
ns_000158,IMPLANT WELL,IMPLANT P BODY,IMPLANT N BUFFER,IMPLANT CHANNEL STOP,IMPLANT LDD
ns_000159,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,MEASURE METAL THICKNESS
ns_000160,METAL ETCH,METAL ETCH DRY,STRIP RESIST,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH
ns_000161,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 4,DEVELOP PHOTORESIST
ns_000162,DEPOSIT BARRIER METAL,FILL VIA TUNGSTEN,CMP VIA FILL,DEPOSIT METAL 1,DEPOSIT INTERLAYER DIELECTRIC
ns_000163,ANNEAL METAL,MEASURE BACKSIDE CONTACT,MEASURE BACKSIDE ROUGHNESS,BACKSIDE THINNING CHECK,FINAL CLEAN
ns_000164,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA RESISTANCE,DEPOSIT INTERLAYER DIELECTRIC
ns_000165,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,DEVELOP PHOTORESIST
ns_000166,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,DEPOSIT INTERLEVEL DIELECTRIC,DENSIFY DIELECTRIC,CMP DIELECTRIC
ns_000167,FINAL ELECTRICAL TEST PREP,WAFER SORT TEST,BREAKDOWN VOLTAGE TEST,SWITCHING TEST,YIELD ANALYSIS
ns_000168,ANISOTROPIC ETCH SPACER,MEASURE SPACER WIDTH,IMPLANT LDD,DEPOSIT INTERLAYER DIELECTRIC,CMP DIELECTRIC
ns_000169,CLEAN AFTER POLY ETCH,MEASURE GATE CD,DEPOSIT SPACER DIELECTRIC,ANISOTROPIC ETCH SPACER,IMPLANT LDD
ns_000170,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 1,DIELECTRIC ETCH VIA,HARD BAKE,VIA ETCH
